artist,url,life,artworks
William-Adolphe Bouguereau,/en/william-adolphe-bouguereau,1825 - 1905,259
Gustave Boulanger,/en/gustave-boulanger,1824 - 1888,14
Sebastien Bourdon,/en/sebastien-bourdon,1616 - 1671,23
Louise Bourgeois,/en/louise-bourgeois,1911 - 2010,0
Dirk Bouts,/en/dirk-bouts,c.1415 - 1475,46
George Bouzianis,/en/george-bouzianis,1885 - 1959,78
Frank Bowling,/en/frank-bowling,born 1936,17
Stanley Boxer,/en/stanley-boxer,1926 - 2000,22
Mykhailo Boychuk,/en/mykhailo-boychuk,1882 - 1937,16
Paul Brach,/en/paul-brach,1924 - 2007,16
John Brack,/en/john-brack,1920 - 1999,17
Robert Brackman,/en/robert-brackman,1898 - 1980,29
Marie Bracquemond,/en/marie-bracquemond,1840 - 1916,21
William Bradford,/en/william-bradford,1823 - 1892,121
John Bradley,/en/john-bradley,c.1800 - c.1850,18
Leonaert Bramer,/en/leonaert-bramer,1596 - 1674,20
Constantin Brancusi,/en/constantin-brancusi,1876 - 1957,43
Antonietta Brandeis,/en/antonietta-brandeis,1848 - 1926,25
Eugene Brands,/en/eugene-brands,1913 - 2002,54
Georges Braque,/en/georges-braque,1882 - 1963,243
Brassai,/en/brassai,1899 - 1984,60
John Bratby,/en/john-bratby,1928 - 1992,113
Geta Bratescu,/en/geta-bratescu,born 1926,46
Maurice Braun,/en/maurice-braun,1877 - 1941,14
Victor Brauner,/en/victor-brauner,1903 - 1966,125
Claudio Bravo,/en/claudio-bravo,1936 - 2011,20
Manuel Alvarez Bravo,/en/manuel-alvarez-bravo,1902 - 2002,11
Victor Brecheret,/en/victor-brecheret,1894 - 1955,1 artwork
Arno Breker,/en/arno-breker,1900 - 1991,17
Hans Andersen Brendekilde,/en/hans-andersen-brendekilde,1857 - 1942,86
Jules Breton,/en/jules-breton,1827 - 1906,78
Anne Brigman,/en/anne-brigman,1869 - 1950,22
Serge Brignoni,/en/serge-brignoni,1903 - 2002,16
Paul Bril,/en/paul-bril,1554 - 1626,27
Romero Britto,/en/romero-britto,born 1963,36
Gandy Brodie,/en/gandy-brodie,1924 - 1975,22
Melchior Broederlam,/en/melchior-broederlam,c.1350 - c.1409,8
Fyodor Bronnikov,/en/fyodor-bronnikov,1827 - 1902,107
Agnolo Bronzino,/en/agnolo-bronzino,1503 - 1572,84
Marcel Broodthaers,/en/marcel-broodthaers,1924 - 1976,17
James Brooks,/en/james-brooks,1906 - 1992,0
Adriaen Brouwer,/en/adriaen-brouwer,1605 - 1638,43
Stanley Brouwn,/en/stanley-brouwn,born 1935,10
Benjamin Brown,/en/benjamin-brown,1865 - 1942,21
Ford Madox Brown,/en/ford-madox-brown,1821 - 1893,48
Glenn Brown,/en/glenn-brown,born 1966,12
Joan Brown,/en/joan-brown,1938 - 1990,21
Theophilus Brown,/en/theophilus-brown,1919 - 2012,14
Patrick Henry Bruce,/en/patrick-henry-bruce,1881 - 1936,13
Pieter Bruegel the Elder,/en/pieter-bruegel-the-elder,c.1525 - 1569,96
Filippo Brunelleschi,/en/filippo-brunelleschi,1377 - 1446,13
Bruno Canova,/en/bruno-canova,,4
Albin Brunovsky,/en/albin-brunovsky,1935 - 1997,20
Camille Bryen,/en/camille-bryen,1907 - 1977,24
Karl Bryullov,/en/karl-bryullov,1799 - 1852,196
Gustave Buchet,/en/gustave-buchet,1888 - 1963,25
Carl Buchheister,/en/carl-buchheister,1890 - 1964,21
Erich Buchholz,/en/erich-buchholz,1891 - 1972,19
Bernard Buffet,/en/bernard-buffet,1928 - 1999,39
Erik Bulatov,/en/erik-bulatov,born 1933,38
Angela Bulloch,/en/angela-bulloch,born 1966,10
Rupert Bunny,/en/rupert-bunny,1864 - 1947,57
Kasumi Bunsho,/en/kasumi-bunsho,1905 - 1998,17
Sever Burada,/en/sever-burada,1896 - 1968,13
Laurel Burch,/en/laurel-burch,1945 - 2007,14
David Burdeny,/en/david-burdeny,born 1968,16
Daniel Buren,/en/daniel-buren,born 1938,16
Samuel Buri,/en/samuel-buri,born 1935,31
David Burliuk,/en/david-burliuk,1882 - 1967,399
Ian Burn,/en/ian-burn,1939 - 1993,10
Eugène Burnand,/en/eugene-burnand,1850 - 1921,23
Edward Burne-Jones,/en/edward-burne-jones,1833 - 1898,187
Alberto Burri,/en/alberto-burri,1915 - 1995,15
Frederick William Burton,/en/frederick-william-burton,1816 - 1900,9
Pol Bury,/en/pol-bury,1922 - 2005,21
Peter Busa,/en/peter-busa,1914 - 1985,16
Jack Bush,/en/jack-bush,1909 - 1977,104
Yosa Buson,/en/yosa-buson,1716 - 1784,30
Robert William Buss,/en/robert-william-buss,1804 - 1875,28
Jacques Busse,/en/jacques-busse,1922 - 2004,9
Mildred Anne Butler,/en/mildred-anne-butler,1858 - 1941,12
Reg Butler,/en/reg-butler,1913 - 1981,10
Vitold Byalynitsky-Birulya,/en/byalynitskiy-birulya,born 1872,33
James Lee Byars,/en/james-lee-byars,1932 - 1997,33
Byzantine Mosaics,/en/byzantine-mosaics,c.330 - c.1453,255
Alexandre Cabanel,/en/alexandre-cabanel,1823 - 1889,39
Alejandro Cabeza,/en/alejandro-cabeza,born 1971,27
Lilla Cabot Perry,/en/lilla-cabot-perry,1848 - 1933,88
Miguel Cabrera,/en/miguel-cabrera,1695 - 1768,21
Pedro Cabrita Reis,/en/pedro-cabrita-reis,born 1956,10
Andre Cadere,/en/andre-cadere,1934 - 1978,16
Cadurcis Plantagenet Ream,/en/cadurcis-plantagenet-ream,1838 - 1917,6
Ippolito Caffi,/en/ippolito-caffi,1809 - 1866,18
John Cage,/en/john-cage,1912 - 1992,35
